багор,багоръ
багровый,багровый
багряница,багряница
багряный,багряный
базар,базаръ
бакалавр,бакалавръ
бакенбарды,бакенбарды
бактерия,бактерiя
бал (вечер танц.),балъ (вечеръ танц.)
балаган,балаганъ
балагурить,балагурить
балалайка,балалайка
баланс,балансъ
балбес,балбесъ
балдахин,балдахинъ
балерина,балерина
балл (отметка),баллъ (отмѣтка)
баллада,баллада
балласт,балластъ
баллотировка,баллотировка
баловаться,баловаться
бандероль,бандероль
банкет,банкетъ
банкрот,банкротъ и банкрутъ
банщик,банщикъ
барахтаться,барахтаться
барельеф,барельефъ
барин,баринъ
баркас,баркасъ
барометр,барометръ
баронесса,баронесса
баррикада,баррикада
барчонок,барчонокъ
барыня,барыня
барыш,барышъ
барьер,барьеръ
басенка,басенка
басня,басня и баснь
бассейн,бассейнъ
бастион,бастiонъ
басурман,басурманъ и бусурманъ
баталия,баталiя
батальон,баталiонъ и батальонъ
батарея,батарея
бахча,бакча и бахча
бацилла,бацилла
башенка,башенка
башня,башня
бдеть,бдѣть
бег,бѣгъ
бегать,бѣгать
беглый,бѣглый
бегом,бѣгомъ
бегун,бѣгунъ
беда,бѣда
бедность,бѣдность
бедный,бѣдный
бедствие,бѣдствiе
бежать,бѣжать
бежевый,бежевый
беженец,бѣженецъ
без,безъ - предлогъ
безалаберный,безалаберный
безапелляционно,безапелляцiонно
безбожие,безбожiе
без ведома,безъ вѣдома
безверие,безвѣрiе
безвестие,безвѣстiе
безветрие,безвѣтрiе
безвозмездный,безвозмездный
безвременье,безвременье и безвремянье
безгрешный,безгрѣшный
безделица,бездѣлица
бездетный,бездѣтный
бездна,бездна
безжалостный,безжалостный
безжизненный,безжизненный
беззаветный,беззавѣтный
беззаконие,беззаконiе
беззастенчивый,беззастѣнчивый
беззатейный,беззатѣйный
беззачетный,беззачётный
беззвездный,беззвѣздный
безземельный,безземельный
безкосный,безкосный (не имѣющiй косы на головѣ)
безкостный,безкостный (не имѣющiй въ себѣ кости)
безлистный,безлистный и и безлистый
безмен,безменъ и безмѣнъ
безмерный,безмѣрный
безначалие,безначалiе
безневестный,безневѣстный
безногий,безногій
безобидный,безобидный
безобразный,безобразный
безоружный,безоружный
безостановочный,безостановочный
безраздельный,безраздѣльный
безрукий,безрукій
безталанный,безталанный (неудачливый)
безталантный,безталантный (бездарный)
безуспешный,безуспѣшный
безутешный,безутѣшный
безшерстный,безшерстный и безшерстый
безызвестный,безызвѣстный и безъизвѣстный
безымённый,безымённый и безъимянный
безыскусственный,безыскусственный и безъискусственный
безысходный,безысходный и безъисходный
Белая Церковь,Бѣлая-Церковь (названiе города)
белена,бѣлена и и белена
белизна,бѣлизна
белила,бѣлила
беличий,бѣличiй
белка,бѣлка
белладонна,белладонна
беллетристика,беллетристика
